word,count
mambo,2
uhh,2
fingers,2
leroy,2
gettin,2
raise,2
faces,2
tough,2
naturlly,2
blurred,2
glass,2
robin,2
yonder,2
paper,2
bartender,2
brave,2
november,2
inferno,2
warm,2
differences,2
shadow,2
reflections,2
holidae,2
moritat,2
groovin,2
unbreak,2
breakfast,2
23,2
flirt,2
gang,2
jive,2
mississippi,2
hall,2
kicks,2
nothings,2
waterfalls,2
crash,2
age,2
wrecking,2
jambalaya,2
sands,2
village,2
tootsee,2
rags,2
linda,2
nova,2
houses,2
overnight,2
holiday,2
later,2
drops,2
sober,2
woodpecker,2
excuse,2
boss,2
riches,2
dandy,2
met,2
church,2
bend,2
hazel,2
list,2
fresh,2
careless,2
hardest,2
shelter,2
such,2
battle,2
soulja,2
diamond,2
shade,2
philadelphia,2
persuasion,2
knee,2
thieves,2
cruising,2
fate,2
riders,2
sweetheart,2
sera,2
naturally,2
jim,2
lisa,2
square,2
pillow,2
g6,2
si,2
circles,2
billie,2
hips,2
monster,2
dedicated,2
whisper,2
rocket,2
nature,2
ex,2
damour,2
radioactive,2
separate,2
survive,2
silver,2
bonnie,2
breakaway,2
michael,2
havent,2
reach,2
whenever,2
fast,2
mouth,2
managua,2
them,2
pardon,2
waterloo,2
diddy,2
draggin,2
cyclone,2
bossa,2
eclipse,2
enchanted,2
grind,2
ebony,2
cest,2
mockin,2
main,2
vision,2
stomp,2
bon,2
self,2
leavin,2
ko,2
semicharmed,2
lullaby,2
million,2
fields,2
clyde,2
kryptonite,2
drift,2
disturbia,2
sent,2
hotstepper,2
peaches,2
silhouettes,2
drug,2
1997,2
rhapsody,2
fooled,2
hurry,2
emotions,2
jo,2
winner,2
ur,2
machine,2
funkytown,2
earrings,2
tubthumping,2
hollywood,2
paparazzi,2
dipinto,2
shhh,2
golly,2
wayward,2
es,2
jerk,2
bubbly,2
loverboy,2
50,2
winding,2
travelin,2
thru,2
dee,2
wolf,2
wasnt,2
chirpy,2
seven,2
closet,2
shangrila,2
sheila,2
sit,2
bohemian,2
heartbeat,2
memories,2
top,2
royals,2
chibaba,2
spanish,2
saving,2
carrie,2
sprung,2
innocent,2
bust,2
dilly,2
understanding,2
marmalade,2
harbor,2
remains,2
tequila,2
seventeen,2
laura,2
leader,2
hundred,2
confusion,2
heartache,2
stroke,2
